ticker,label,f5,f10,f20,peak,now,r20_at,dist_high_at
LIFE,late_chase,21.852734195690537,-9.358666910952273,-19.762470300179537,45.320671075043336,-20.712583662838014,67.4622096110951,0.0
LINK,noise,,,,0.0,-5.243449472050199,79.19463484594719,-9.337856135230693
LITE,building,7.878667225468883,-9.342540606373761,5.426256646900374,7.878667225468883,-8.275110007150921,26.402335376268592,0.0
LLY,noise,,,,0.0,0.0,21.369412070792837,0.0
LMND,noise,-1.194197174783218,4.813519965451163,-5.456551908967578,7.88168453329845,-2.682342598358989,-2.1571108033417663,-23.27319082046424
LMT,noise,3.135185713659494,4.03123918183701,,4.872628039527149,2.1912437440173127,-17.337695993027037,-17.337695993027037
LPTH,noise,47.13541744276879,43.74998965197181,,57.55207376140725,30.555550036607194,-18.644063687125858,-28.402732451740764
LRCX,noise,7.245716772395272,11.379598819040893,,20.718597211808955,13.95406392806633,6.39760640011533,-4.823664706733877
LTC,avoid_wait,,,,0.30606737494367486,-0.8625419322174754,-5.529823148457414,-7.6790631989144265
LULU,noise,-2.0468285603181813,-6.760733354131099,-1.9460339509842495,3.5741981416171464,-8.861833659791928,-17.415801142152365,-22.895745654738697
LUMN,extended,-10.610930109471184,3.644160293335097,13.183285165795212,17.792067105963326,-3.4297931129790293,40.7239783206673,0.0
LWLG,noise,-35.83973643832674,-37.102083040435275,,0.0,-43.46871251973431,50.703052799006464,0.0
LYSDY,noise,1.8772510328258107,-7.870036986036688,-1.3718449734616889,4.187724965567874,-11.407941373200082,0.8005866971176223,-11.103976577073105
M,noise,12.221618786793641,18.41390232344282,,25.095061800789907,20.912549773925825,-5.783014407216768,-9.041501701583055
MA,noise,1.508232854139857,0.6338629664746964,,3.0878023488035256,-1.0129628795695234,-5.638896469959887,-6.585680008106564
MBLY,noise,-7.217467184047832,-1.1396000816917606,,2.469138038700347,-7.9772096285787075,36.398963978595944,0.0
MCD,noise,-3.7991940915050093,-3.57590943932089,-3.6736118830181796,0.0,-2.433739467510432,-6.674482017124683,-7.939350975348713
MCHP,noise,-0.1638919383589621,,,5.9440588297031915,-0.1638919383589621,-2.0975592597135773,-10.630258217469956
MDB,noise,4.4752694313217045,29.38236806275265,,29.38236806275265,12.94207887702823,18.520767664576844,0.0
MELI,avoid_wait,-14.044845389964255,-10.273206258165446,-14.021847988416047,0.0,-13.797788149999723,4.282825240830901,-0.1127056682833194
META,avoid_wait,0.14455932366530533,0.9002021303901486,-1.3601690836755664,4.359749983957895,-3.83736925693019,5.9690799560941254,-11.58957072220046
MITK,noise,-1.8348668574431959,-7.404980979634745,15.137610952130665,17.103542406321502,0.9174271792176558,11.631310488031499,0.0
MNDY,noise,-1.5504857384386672,17.26038065438189,,22.334700282797915,7.329576055354758,14.076884575218628,0.0
MO,noise,5.880670548353595,3.1764218630568886,,5.880670548353595,2.003150004442933,6.5071570623925545,-6.250843019917884
MP,extended,1.2006649928486546,-8.04441995587707,3.9922013683903135,9.034976017730688,-13.582464048351795,33.983506669506916,-3.6999640087543417
MRAM,late_chase,-16.332167678240918,-17.962869387294166,,10.411434138573238,-39.036631046237645,258.7758941684144,0.0
MRNA,noise,-9.770004981917557,-13.744245843102865,-12.419503568549374,0.0,-12.419503568549374,6.6522752169384525,-2.2482015005482636
MRVL,extended,4.387139505755466,3.220083646430938,77.67933645246868,93.34595233730967,76.49395065386418,49.52234389483048,-1.1476165284503237
MSFT,fresh_watch,0.16407620976133241,1.804845686892942,11.359285131303775,11.359285131303775,-0.4363066396477877,10.973067185080708,-4.2686876062502215
MSTR,extended,5.881355916146158,0.14110741241957214,-15.45972776018768,10.594346935965016,-28.20455028342488,47.85111863615996,-1.221009385567462
MTRN,avoid_wait,3.4176296807586937,-1.4828345463231085,16.122964543242535,16.87502776825569,14.598507659308769,30.531608082948857,0.0
MTSI,extended,19.497974441918497,18.252792543807004,28.583189024006515,34.95404117384855,19.201494423356813,28.094012527028344,0.0
MU,late_chase,37.73445109730109,33.649313693629225,90.97765774093722,99.10549464972918,75.07607584294105,48.047738212768444,0.0
MUU,late_chase,34.12929143227874,,,34.12929143227874,-0.5214058509992237,208.62908371463007,0.0
MX,late_chase,-12.005109404592984,,,14.048536298696156,-12.005109404592984,111.62161683235148,-11.02273006823431
