horizon_d,alpha_sentiment,alpha_technical,mean_ic,ic_tstat,n_days,top10_hit_rate,top10_mean_ret
10,0.275,0.725,0.047086091658344105,1.0549734293296158,34,0.24848484848484853,0.018770617576279704
10,0.3,0.7,0.05083437838073006,1.1314258035667837,34,0.24545454545454545,0.018502676159834378
10,0.325,0.675,0.04556938836715504,0.9885752915805648,34,0.24545454545454545,0.021163834024536837
10,0.35,0.65,0.04796319878027799,1.0395092369611227,34,0.24848484848484848,0.02374843072564094
10,0.375,0.625,0.053010697022963855,1.1464331504214735,34,0.24848484848484848,0.025350407186763162
10,0.4,0.6,0.05620350424030042,1.2222473616783893,34,0.2545454545454545,0.02815688135899026
10,0.425,0.575,0.05903156456635411,1.292185433194704,34,0.2515151515151515,0.03238791745679557
10,0.45,0.55,0.06395669945366138,1.387155761165957,34,0.2515151515151515,0.031523011845005486
10,0.475,0.525,0.06567585700674719,1.4153373799675117,34,0.24848484848484848,0.030966629403467893
10,0.5,0.5,0.06706414553141288,1.4585250492553117,34,0.2393939393939394,0.02663700779004323
10,0.525,0.475,0.07154131978258138,1.5768902051581812,34,0.2393939393939394,0.027109644356442347
10,0.55,0.45,0.0762760541913356,1.7000512820396112,34,0.23636363636363636,0.026533671161012115
10,0.575,0.425,0.08085889963189154,1.8102475849236441,34,0.23636363636363636,0.030247299281370665
10,0.6,0.4,0.08226024729919666,1.8364563908161518,34,0.2333333333333333,0.029032849405123795
10,0.625,0.375,0.08046159983164844,1.734211376535304,34,0.23636363636363636,0.030218968651400096
10,0.65,0.35,0.0907769754010994,2.0273434770190932,34,0.2333333333333333,0.031475325912753274
10,0.675,0.325,0.09738946469213965,2.1933999027453353,34,0.23636363636363636,0.03126561866094899
10,0.7,0.3,0.09876582527358417,2.2126389661931127,34,0.2303030303030303,0.02952077132417094
10,0.725,0.275,0.09158115483149354,1.8596432518293993,34,0.2303030303030303,0.027994118162356876
10,0.75,0.25,0.09695538460878893,1.9824323181782169,34,0.22424242424242422,0.025887700510158613
10,0.775,0.225,0.10697144210875777,2.2065755077622744,34,0.22424242424242422,0.020756548019529582
10,0.8,0.2,0.11295044161968382,2.2572973076113434,34,0.21515151515151515,0.018213602707367386
10,0.825,0.175,0.11759519067444789,2.3524157096158103,34,0.21818181818181817,0.01960176145412455
10,0.85,0.15,0.12076832075932768,2.4067098353165766,34,0.21515151515151515,0.017129583362605626
10,0.875,0.125,0.1217452908233968,2.3961382631004042,34,0.2212121212121212,0.02223295595914229
10,0.9,0.1,0.12331248073278542,2.4106411311387195,34,0.2181818181818182,0.02648100590031869
10,0.925,0.075,0.1251657822342785,2.4136717321286114,34,0.22727272727272727,0.028225141973191627
10,0.95,0.05,0.12456998744383166,2.3710117958968824,34,0.2212121212121212,0.024766442845456243
